System,Scope,Owner,DeviceType,Signal,CleanName,Type,Interface,Unit,Range,Safety,Priority,ECU,Connector,Pin,PinRole,PinInterface,CAN
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS410_SUPPLY_PLUS","HYDD_SUPPLY_PWR","U1","POWER","VOLT","8..42","QM","MEDIUM","AEC_DISPLAY_01","X1000",2,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS410_OUT2_PNP","HYDD_OUT2_2_CMD","U1","DIGITAL","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",53,"INPUT","FREQUENCY",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS410_0V","HYDD_EDS410_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X2",4,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS410_OUT1_PNP","HYDD_OUT1_1_CMD","U1","DIGITAL","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",54,"INPUT","FREQUENCY",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS810_SUPPLY_PLUS","HYDD_SUPPLY_PWR","U1","POWER","VOLT","8..36","QM","MEDIUM","AEC_DISPLAY_01","X1000",3,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS810_OUT2_PNP","HYDD_OUT2_2_CMD","U1","DIGITAL","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",55,"INPUT","FREQUENCY",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS810_0V","HYDD_EDS810_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X2",5,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin","sensor","EDS810_OUT1_PNP","HYDD_OUT1_1_CMD","U1","DIGITAL","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",56,"INPUT","FREQUENCY",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template","sensor","HLT700_CAN_SHLD","HYDD_CAN_GND","U1","GROUND","NONE","0..1","QM","MEDIUM","AEC_CABIN_01","X2",6,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template","sensor","HLT700_CAN_VPLUS","HYDD_CAN_PWR","U1","POWER","VOLT","9..36","QM","MEDIUM","AEC_DISPLAY_01","X1000",4,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template","sensor","HLT700_CAN_GND","HYDD_CAN_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X2",7,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template","sensor","HLT700_CAN_H","HYDD_CAN_CAN","U1","CAN","NONE","0..1","QM","MEDIUM","AEC_CABIN_01","X2",11,"INOUT","CAN",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template","sensor","HLT700_CAN_L","HYDD_CAN_CAN","U1","CAN","NONE","0..1","QM","MEDIUM","AEC_CABIN_01","X2",12,"INOUT","CAN",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template","sensor","HIT1500_CAN_SHLD","HYDD_CAN_GND","U1","GROUND","NONE","0..1","QM","MEDIUM","AEC_DISPLAY_01","X1000",7,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template","sensor","HIT1500_CAN_VPLUS","HYDD_CAN_PWR","U1","POWER","VOLT","9..36","AgPL_B","MEDIUM","AEC_DISPLAY_01","X1000",5,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template","sensor","HIT1500_CAN_GND","HYDD_CAN_GND","U1","GROUND","NONE","0..0","AgPL_B","MEDIUM","AEC_DISPLAY_01","X1000",8,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template","sensor","HIT1500_CAN_H","HYDD_CAN_CAN","U1","CAN","NONE","0..1","QM","MEDIUM","AEC_CABIN_01","X2",13,"INOUT","CAN",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template","sensor","HIT1500_CAN_L","HYDD_CAN_CAN","U1","CAN","NONE","0..1","QM","MEDIUM","AEC_CABIN_01","X2",14,"INOUT","CAN",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_GND1","ELB_424SD11D_1_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_DISPLAY_01","X1000",69,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_UB1","ELB_424SD11D_1_PWR","U16","POWER","VOLT","9..32","AgPL_B","HIGH","AEC_ENGINE_01","X1",2,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_ANGLE_4_20MA_OUT1","ELB_424SD11D_1_AI","F32","CURRENT","DEGREE","0..120","AgPL_B","HIGH","VALIDATION_IO_ECU","T1",85,"INPUT","CURRENT",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_GND2","ELB_424SD11D_2_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_ENGINE_01","X1",11,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_UB2","ELB_424SD11D_2_PWR","U16","POWER","VOLT","9..32","AgPL_B","HIGH","AEC_ENGINE_01","X1",3,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD11D_DH_120deg","sensor","elobau_424SD11D_DH_120deg_SWITCH_OUT2_HIGH_SIDE","ELB_424SD11D_2_CMD","U1","DIGITAL","BOOLEAN","0..1","AgPL_B","HIGH","AEC_CABIN_01","X1",57,"INPUT","FREQUENCY",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_GND1","ELB_424SD16D_1_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_ENGINE_01","X1",12,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_UB1","ELB_424SD16D_1_PWR","U16","POWER","VOLT","4.5..5.5","AgPL_B","HIGH","AEC_ENGINE_01","X1",4,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_ANGLE_0_5_4_5V_RATIOMETRIC_OUT1","ELB_424SD16D_1_AI","F32","ANALOG","DEGREE","0..120","AgPL_B","HIGH","AEC_CABIN_01","X1",80,"INPUT","RESISTANCE",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_GND2","ELB_424SD16D_2_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_ENGINE_01","X1",13,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_UB2","ELB_424SD16D_2_PWR","U16","POWER","VOLT","4.5..5.5","AgPL_B","HIGH","AEC_ENGINE_01","X1",5,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424SD16D_DS_120deg","sensor","elobau_424SD16D_DS_120deg_SWITCH_OUT2_PUSH_PULL","ELB_424SD16D_2_CMD","U1","DIGITAL","BOOLEAN","0..1","AgPL_B","HIGH","AEC_CABIN_01","X1",58,"INPUT","FREQUENCY",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424A_4_20MA_120deg","sensor","elobau_424A_4_20MA_120deg_SUPPLY","ELB_424A_PWR","U16","POWER","VOLT","9..32","QM","HIGH","AEC_ENGINE_01","X1",6,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424A_4_20MA_120deg","sensor","elobau_424A_4_20MA_120deg_GND","ELB_424A_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_ENGINE_01","X1",14,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424A_4_20MA_120deg","sensor","elobau_424A_4_20MA_120deg_ANGLE_4_20MA","ELB_424A_0M_AI","F32","CURRENT","DEGREE","0..120","QM","HIGH","VALIDATION_IO_ECU","T1",86,"INPUT","CURRENT",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_GND1","ELB_424R_1_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_ENGINE_01","X1",15,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_UB1","ELB_424R_1_PWR","U16","POWER","VOLT","9..32","AgPL_B","HIGH","AEC_ENGINE_01","X1",7,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_ANGLE_OUT1","ELB_424R_1_AI","F32","ANALOG","DEGREE","0..120","AgPL_B","HIGH","AEC_CABIN_01","X1",81,"INPUT","RESISTANCE",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_GND2","ELB_424R_2_GND","U1","GROUND","NONE","0..0","AgPL_B","HIGH","AEC_ENGINE_01","X1",16,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_UB2","ELB_424R_2_PWR","U16","POWER","VOLT","9..32","AgPL_B","HIGH","AEC_ENGINE_01","X1",8,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424R_0_5_4_5V_parallel_120deg","sensor","elobau_424R_0_5_4_5V_parallel_120deg_ANGLE_OUT2","ELB_424R_2_AI","F32","ANALOG","DEGREE","0..120","AgPL_B","HIGH","AEC_CABIN_01","X1",82,"INPUT","RESISTANCE",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424C_360deg_CANopen","sensor","elobau_424C_360deg_CANopen_SHIELD","ELB_424C_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_ENGINE_01","X1",17,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424C_360deg_CANopen","sensor","elobau_424C_360deg_CANopen_SUPPLY_9_32V","ELB_424C_2V_PWR","U16","POWER","VOLT","9..32","QM","HIGH","AEC_ENGINE_01","X1",9,"SUPPLY","POWER",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424C_360deg_CANopen","sensor","elobau_424C_360deg_CANopen_GND","ELB_424C_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_ENGINE_01","X1",18,"GROUND","GROUND",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424C_360deg_CANopen","sensor","elobau_424C_360deg_CANopen_CAN_H","ELB_424C_CAN","U1","CAN","NONE","0..1","QM","HIGH","AEC_CABIN_01","X2",15,"INOUT","CAN",""
"Example_System_with_selected_elobau_angle_sensors","device","elobau_424C_360deg_CANopen","sensor","elobau_424C_360deg_CANopen_CAN_L","ELB_424C_CAN","U1","CAN","NONE","0..1","QM","HIGH","AEC_CABIN_01","X2",16,"INOUT","CAN",""
"Example_HYDAC_Coil_Topologies_System","device","HYDAC_PROP_12PG_5_6_32_1329_PN4059964_HS_LS","actuator","HYDAC_4059964_CoilCommand_HS","COIL_4059964_CMD","U1","PWM","PERCENT","0..100","QM","MEDIUM","AEC_CABIN_01","X1",33,"OUTPUT","PWM",""
"Example_HYDAC_Coil_Topologies_System","device","HYDAC_PROP_12PG_5_6_32_1329_PN4059964_HS_LS","actuator","HYDAC_4059964_CoilReturn_LS","COIL_4059964_CMD","U1","PWM","PERCENT","0..100","QM","MEDIUM","AEC_CABIN_01","X1",49,"OUTPUT","PWM",""
"Example_HYDAC_Coil_Topologies_System","device","HYDAC_DIR_12DG_32_1329_UL_V0_PN2610160_HS_GND","actuator","HYDAC_2610160_CoilCommand_HS","COIL_2610160_SWT","U1","DIGITAL","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",23,"OUTPUT","DIGITAL",""
"Example_HYDAC_Coil_Topologies_System","device","HYDAC_DIR_12DG_32_1329_UL_V0_PN2610160_HS_GND","actuator","HYDAC_2610160_POWER_GND","COIL_2610160_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_DISPLAY_01","X1000",11,"GROUND","GROUND",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_GROUND_RETURN","actuator","DirCoilCmd_HS","BREX_Coil_SWT","U1","DIGITAL","BOOLEAN","0..1","QM","HIGH","AEC_CABIN_01","X1",21,"OUTPUT","DIGITAL",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_GROUND_RETURN","actuator","POWER_GND","BREX_POWER_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_DISPLAY_01","X1000",9,"GROUND","GROUND",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_LOW_SIDE","actuator","DirCoilCmd_HS","BREX_Coil_SWT","U1","DIGITAL","BOOLEAN","0..1","QM","HIGH","AEC_CABIN_01","X1",22,"OUTPUT","DIGITAL",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_LOW_SIDE","actuator","DirCoilReturn_LS","BREX_Coil_SWT","U1","DIGITAL","BOOLEAN","0..1","QM","HIGH","AEC_CABIN_01","X1",47,"OUTPUT","PWM",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_GROUN","actuator","PropCoilCurrentCmd_HS","BREX_Coil_CMD","F32","PWM","AMPERE","0..0.8","QM","HIGH","AEC_CABIN_01","X1",19,"OUTPUT","PWM",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_GROUN","actuator","POWER_GND","BREX_POWER_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_DISPLAY_01","X1000",10,"GROUND","GROUND",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_LOW_S","actuator","PropCoilCurrentCmd_HS","BREX_Coil_CMD","F32","PWM","AMPERE","0..0.8","QM","HIGH","AEC_CABIN_01","X1",20,"OUTPUT","PWM",""
"Example_System_with_Bosch_Rexroth_Coil_Actuators","device","Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_LOW_S","actuator","PropCoilReturn_LS","BREX_Coil_CMD","F32","PWM","AMPERE","0..0.8","QM","HIGH","AEC_CABIN_01","X1",48,"OUTPUT","PWM",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_25bar_B_0_10V","sensor","HDA4300_SUPPLY_24V","BRK_SUPPLY_4V_PWR","U1","POWER","VOLT","12..30","QM","MEDIUM","AEC_DISPLAY_01","X1000",6,"SUPPLY","POWER",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_25bar_B_0_10V","sensor","HDA4300_0V","BRK_HDA4300_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_DISPLAY_01","X1000",12,"GROUND","GROUND",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_25bar_B_0_10V","sensor","ParlockPressure","BRK_Parlock_AI","U16","ANALOG","BAR","0..25","QM","MEDIUM","AEC_CABIN_01","X1",78,"INPUT","RESISTANCE",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy","sensor","HDA4300_SUPPLY_24V","BRK_SUPPLY_4V_PWR","U1","POWER","VOLT","12..30","QM","MEDIUM","AEC_ENGINE_01","X1",1,"SUPPLY","POWER",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy","sensor","HDA4300_0V","BRK_HDA4300_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_DISPLAY_01","X1000",67,"GROUND","GROUND",""
"BRAKE_SYSTEM","device","HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy","sensor","ParlockPressure","BRK_Parlock_AI","U16","ANALOG","BAR","0..25","QM","MEDIUM","AEC_CABIN_01","X1",79,"INPUT","RESISTANCE",""
"BRAKE_SYSTEM","device","Rexroth_S8_356_CLASS_H_17W_OD0227203POC00_HIGH_SIDE_GROUND_RETU","actuator","DirCoilCmd_HS","BRK_Coil_SWT","U1","DIGITAL","BOOLEAN","0..1","QM","HIGH","AEC_CABIN_01","X1",24,"OUTPUT","DIGITAL",""
"BRAKE_SYSTEM","device","Rexroth_S8_356_CLASS_H_17W_OD0227203POC00_HIGH_SIDE_GROUND_RETU","actuator","POWER_GND","BRK_POWER_GND","U1","GROUND","NONE","0..0","QM","HIGH","AEC_DISPLAY_01","X1000",68,"GROUND","GROUND",""
"BRAKE_SYSTEM","software","Brake_SWC","swc_variable","Brake_Pressure","","U16","CAN","BAR","0..250","QM","LOW","","",,"","","BrakeStatus@0xCF00600 on Powertrain_Engine_Bus [0|16]"
"BRAKE_SYSTEM","software","Brake_SWC","swc_variable","Brake_Applied","","U1","CAN","BOOLEAN","0..1","QM","LOW","","",,"","","BrakeStatus@0xCF00600 on Powertrain_Engine_Bus [16|1]"
"Rear_Hydraulic_Hitch_System","device","Rear_Hitch_Position_Sensor","sensor","HAT1200_SUPPLY_24V","RHIT_SUPPLY_4V_PWR","U1","POWER","VOLT","9..36","AgPL_B","MEDIUM","AEC_CABIN_01","X1",1,"SUPPLY","POWER",""
"Rear_Hydraulic_Hitch_System","device","Rear_Hitch_Position_Sensor","sensor","HAT1200_0V","RHIT_HAT1200_0_GND","U1","GROUND","NONE","0..0","AgPL_B","MEDIUM","AEC_CABIN_01","X1",9,"GROUND","GROUND",""
"Rear_Hydraulic_Hitch_System","device","Rear_Hitch_Position_Sensor","sensor","HAT1200_Angle_0_10V","RHIT_Angle_0V_AI","F32","ANALOG","DEGREE","0..360","AgPL_B","MEDIUM","AEC_CABIN_01","X1",75,"INPUT","RESISTANCE",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Hydraulic_Pressure_Sensor","sensor","HDA4300_LOOP_SUPPLY_PLUS","RHIT_LOOP_PWR","U1","POWER","VOLT","8..30","QM","MEDIUM","AEC_CABIN_01","X1",2,"SUPPLY","POWER",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Hydraulic_Pressure_Sensor","sensor","HDA4300_Pressure_4_20mA","RHIT_Pressure_0m_AI","F32","CURRENT","BAR","0..10","QM","MEDIUM","VALIDATION_IO_ECU","T1",81,"INPUT","CURRENT",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Proportional_Lowering_Valve","actuator","HYD_PDR10830_Prop_Press_Vlv_Sup","RHIT_PDR10830_PWR","U16","POWER","VOLT","0..24","QM","MEDIUM","AEC_CABIN_01","X1",3,"SUPPLY","POWER",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Proportional_Lowering_Valve","actuator","HYD_PDR10830_Prop_Press_Vlv_Gnd","RHIT_PDR10830_GND","U1","GROUND","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",10,"GROUND","GROUND",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Proportional_Lowering_Valve","actuator","HYD_PDR10830_Cmd","RHIT_PDR10830_CMD","U16","PWM","PERCENT","0..100","QM","HIGH","AEC_CABIN_01","X1",17,"OUTPUT","PWM",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Raise_Solenoid_Valve","actuator","Coil12PN5_1_50_2345_Cmd","RHIT_1_CMD","U16","PWM","PERCENT","0..100","QM","HIGH","AEC_CABIN_01","X1",18,"OUTPUT","PWM",""
"Rear_Hydraulic_Hitch_System","device","Hitch_Raise_Solenoid_Valve","actuator","HYD_Sol_Coil_12PN_5_1_50_2345_Gnd","RHIT_Sol_GND","U1","GROUND","BOOLEAN","0..1","QM","MEDIUM","AEC_CABIN_01","X1",11,"GROUND","GROUND",""
"Engine_Control_Software","software","Engine_SWC","swc_variable","Engine_Torque_Estimate","","U16","CAN","PERCENT","0..100","QM","LOW","","",,"","","EngineStatus@0xCF00400 on Powertrain_Engine_Bus [0|16]"
