signal,system,device,interface,unit,min,max,priority,safety,ecu,ecu_pin
UNKN_424SD11D_1_AI,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,CURRENT,DEGREE,0,120,HIGH,AgPL_B,unmapped,—
UNKN_424SD11D_1_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_DISPLAY_01,AEC_DISPLAY_01:X1000:69
UNKN_424SD11D_1_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,POWER,VOLT,9,32,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:2
UNKN_424SD11D_2_CMD,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,DIGITAL,BOOLEAN,0,1,HIGH,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:57
UNKN_424SD11D_2_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:11
UNKN_424SD11D_2_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424SD11D_DH_120deg,POWER,VOLT,9,32,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:3
UNKN_424SD16D_1_AI,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,ANALOG,DEGREE,0,120,HIGH,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:80
UNKN_424SD16D_1_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:12
UNKN_424SD16D_1_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,POWER,VOLT,4.5,5.5,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:4
UNKN_424SD16D_2_CMD,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,DIGITAL,BOOLEAN,0,1,HIGH,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:58
UNKN_424SD16D_2_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:13
UNKN_424SD16D_2_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424SD16D_DS_120deg,POWER,VOLT,4.5,5.5,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:5
UNKN_Angle_0V_AI,Rear_Hydraulic_Hitch_System,Rear_Hitch_Position_Sensor,ANALOG,DEGREE,0,360,MEDIUM,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:75
UNKN_Angle_0m_AI,HYDAC_Selected_Sensor_Examples,HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady,CURRENT,DEGREE,0,360,MEDIUM,AgPL_B,unmapped,—
UNKN_CAN_CAN,HYDAC_Selected_Sensor_Examples,"HYDAC_HAT3800_Angle_CANopen_M12_5Pin, HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template, HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template",CAN,NONE,0,0,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X2:10, AEC_CABIN_01:X2:11, AEC_CABIN_01:X2:12, AEC_CABIN_01:X2:13, AEC_CABIN_01:X2:14, AEC_CABIN_01:X2:9"
UNKN_CAN_GND,HYDAC_Selected_Sensor_Examples,"HYDAC_HAT3800_Angle_CANopen_M12_5Pin, HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template, HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template",GROUND,NONE,0,0,MEDIUM,QM,"AEC_CABIN_01, AEC_DISPLAY_01","AEC_CABIN_01:X1:13, AEC_CABIN_01:X1:14, AEC_CABIN_01:X2:6, AEC_CABIN_01:X2:7, AEC_DISPLAY_01:X1000:7, AEC_DISPLAY_01:X1000:8"
UNKN_CAN_PWR,HYDAC_Selected_Sensor_Examples,"HYDAC_HIT1500_Inclination_CANopen_J1939_5Pin_Template, HYDAC_HLT700_LinearPosition_CANopen_5Pin_Template",POWER,VOLT,9,36,MEDIUM,QM,AEC_DISPLAY_01,"AEC_DISPLAY_01:X1000:4, AEC_DISPLAY_01:X1000:5"
UNKN_Coil_CMD,Example_System_with_Bosch_Rexroth_Coil_Actuators,"Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_GROUN, Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_LOW_S",PWM,AMPERE,0,0.8,HIGH,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:19, AEC_CABIN_01:X1:20, AEC_CABIN_01:X1:48"
UNKN_Coil_SWT,"BRAKE_SYSTEM, Example_System_with_Bosch_Rexroth_Coil_Actuators","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_GROUND_RETURN, Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_LOW_SIDE, Rexroth_S8_356_CLASS_H_17W_OD0227203POC00_HIGH_SIDE_GROUND_RETU",DIGITAL,BOOLEAN,0,1,HIGH,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:21, AEC_CABIN_01:X1:22, AEC_CABIN_01:X1:24, AEC_CABIN_01:X1:47"
UNKN_EDS410_0_GND,HYDAC_Selected_Sensor_Examples,HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin,GROUND,NONE,0,0,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X2:4
UNKN_EDS810_0_GND,HYDAC_Selected_Sensor_Examples,HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin,GROUND,NONE,0,0,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X2:5
UNKN_ETS4100_0_GND,HYDAC_Selected_Sensor_Examples,HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050,GROUND,NONE,0,0,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:16
UNKN_HAT1200_0_GND,"HYDAC_Selected_Sensor_Examples, Rear_Hydraulic_Hitch_System","HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady, Rear_Hitch_Position_Sensor",GROUND,NONE,0,0,MEDIUM,AgPL_B,AEC_CABIN_01,"AEC_CABIN_01:X1:12, AEC_CABIN_01:X1:9"
UNKN_HDA4300_0_GND,"BRAKE_SYSTEM, HYDAC_Selected_Sensor_Examples","HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy, HYDAC_HDA4300_Pressure_25bar_B_0_10V, HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire",GROUND,NONE,0,0,MEDIUM,QM,"AEC_CABIN_01, AEC_DISPLAY_01","AEC_CABIN_01:X1:15, AEC_DISPLAY_01:X1000:12, AEC_DISPLAY_01:X1000:67"
UNKN_LOOP_PWR,"HYDAC_Selected_Sensor_Examples, Rear_Hydraulic_Hitch_System","HYDAC_ETS4100_Temperature_A_4_20mA_2Wire_Probe_050, HYDAC_HDA4300_Pressure_40bar_A_4_20mA_2Wire, Hitch_Hydraulic_Pressure_Sensor",POWER,VOLT,8,30,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:2, AEC_CABIN_01:X1:6, AEC_CABIN_01:X1:8"
UNKN_OUT1_1_CMD,HYDAC_Selected_Sensor_Examples,"HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin, HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin",DIGITAL,BOOLEAN,0,1,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:54, AEC_CABIN_01:X1:56"
UNKN_OUT2_2_CMD,HYDAC_Selected_Sensor_Examples,"HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin, HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin",DIGITAL,BOOLEAN,0,1,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:53, AEC_CABIN_01:X1:55"
UNKN_PDR10830_CMD,Rear_Hydraulic_Hitch_System,Hitch_Proportional_Lowering_Valve,PWM,PERCENT,0,100,HIGH,QM,AEC_CABIN_01,AEC_CABIN_01:X1:17
UNKN_PDR10830_GND,Rear_Hydraulic_Hitch_System,Hitch_Proportional_Lowering_Valve,GROUND,BOOLEAN,0,1,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:10
UNKN_PDR10830_PWR,Rear_Hydraulic_Hitch_System,Hitch_Proportional_Lowering_Valve,POWER,VOLT,0,24,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:3
UNKN_POWER_GND,"BRAKE_SYSTEM, Example_System_with_Bosch_Rexroth_Coil_Actuators","Rexroth_D36_CLASS_H_20W_OD0236403POB00_HIGH_SIDE_GROUND_RETURN, Rexroth_GP37_PROPORTIONAL_CLASS_H_37_C4_R11p500_HIGH_SIDE_GROUN, Rexroth_S8_356_CLASS_H_17W_OD0227203POC00_HIGH_SIDE_GROUND_RETU",GROUND,NONE,0,0,HIGH,QM,AEC_DISPLAY_01,"AEC_DISPLAY_01:X1000:10, AEC_DISPLAY_01:X1000:68, AEC_DISPLAY_01:X1000:9"
UNKN_Parlock_AI,BRAKE_SYSTEM,"HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy, HYDAC_HDA4300_Pressure_25bar_B_0_10V",ANALOG,BAR,0,25,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:78, AEC_CABIN_01:X1:79"
UNKN_Pressure_0V_AI,HYDAC_Selected_Sensor_Examples,HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire,ANALOG,BAR,0,40,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:76
UNKN_Pressure_0m_AI,"HYDAC_Selected_Sensor_Examples, Rear_Hydraulic_Hitch_System","HYDAC_HDA4300_Pressure_40bar_A_4_20mA_2Wire, Hitch_Hydraulic_Pressure_Sensor",CURRENT,BAR,0,40,MEDIUM,QM,unmapped,—
UNKN_SUPPLY_4V_PWR,"BRAKE_SYSTEM, HYDAC_Selected_Sensor_Examples, Rear_Hydraulic_Hitch_System","HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050, HYDAC_HDA4300_Pressure_200bar_B_0_10V_copy, HYDAC_HDA4300_Pressure_25bar_B_0_10V, HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire, Rear_Hitch_Position_Sensor",POWER,VOLT,12,30,MEDIUM,QM,"AEC_CABIN_01, AEC_DISPLAY_01, AEC_ENGINE_01","AEC_CABIN_01:X1:1, AEC_CABIN_01:X1:7, AEC_DISPLAY_01:X1000:1, AEC_DISPLAY_01:X1000:6, AEC_ENGINE_01:X1:1"
UNKN_SUPPLY_6V_PWR,HYDAC_Selected_Sensor_Examples,HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady,POWER,VOLT,9,36,MEDIUM,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:4
UNKN_SUPPLY_PWR,HYDAC_Selected_Sensor_Examples,"HYDAC_EDS410_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin, HYDAC_EDS810_PressureSwitch_100bar_PNP_2Outputs_M12_4Pin",POWER,VOLT,8,42,MEDIUM,QM,AEC_DISPLAY_01,"AEC_DISPLAY_01:X1000:2, AEC_DISPLAY_01:X1000:3"
UNKN_Sol_GND,Rear_Hydraulic_Hitch_System,Hitch_Raise_Solenoid_Valve,GROUND,BOOLEAN,0,1,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:11
UNKN_Temperature_0V_AI,HYDAC_Selected_Sensor_Examples,HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050,ANALOG,CELSIUS,-25,100,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:77
UNKN_Temperature_0m_AI,HYDAC_Selected_Sensor_Examples,HYDAC_ETS4100_Temperature_A_4_20mA_2Wire_Probe_050,CURRENT,CELSIUS,-25,100,MEDIUM,QM,unmapped,—
UNKN_VPLUS_6V_PWR,HYDAC_Selected_Sensor_Examples,HYDAC_HAT3800_Angle_CANopen_M12_5Pin,POWER,VOLT,9,36,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:5
